depth,url,type,message
"6","https://help.x.com/rules-and-policies/x-services-and-corporate-affiliates","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/rules-and-policies/x-services-and-corporate-affiliates]"
"6","https://help.x.com/rules-and-policies","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/rules-and-policies]"
"6","https://support.x.com/en/rules-and-policies/twitter-rules.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/rules-and-policies/twitter-rules.html]"
"7","https://help.x.com/forms/account-access/appeals.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/forms/account-access/appeals.html]"
"7","https://help.x.com/en/forms/dsa/appeal.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/forms/dsa/appeal.html]"
"7","https://help.x.com/en/forms/account-access/appeals","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/forms/account-access/appeals]"
"7","https://help.x.com/en/forms/safety-and-sensitive-content","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/forms/safety-and-sensitive-content]"
"7","https://help.x.com/en/forms/paid-features/general","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/forms/paid-features/general]"
"7","https://help.x.com/en/rules-and-policies/twitter-rules.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/rules-and-policies/twitter-rules.html]"
"7","https://help.twitter.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/how-to-follow-people-on-twitter-twitter-help","FAILED","HTTP error fetching URL. Status=404, URL=[https://help.x.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/how-to-follow-people-on-twitter-twitter-help]"
"7","https://help.twitter.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/topics-help-you-stay-informed-twitter-help","FAILED","HTTP error fetching URL. Status=404, URL=[https://help.x.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/topics-help-you-stay-informed-twitter-help]"
"8","https://help.x.com/en/rules-and-policies/sexual-exploitation-policy.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/rules-and-policies/sexual-exploitation-policy.html]"
"8","https://help.twitter.com/en/rules-and-policies/twitter-rules.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/rules-and-policies/twitter-rules.html]"
"8","https://help.x.com/en/using-twitter/twitter-videos.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/using-twitter/twitter-videos.html]"
"8","https://help.x.com/en/using-twitter/voice-tweet.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/using-twitter/voice-tweet.html]"
"8","https://status.twitterstat.us/","FAILED","status.twitterstat.us"
"8","https://help.twitter.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/how-to-follow-people-on-twitter-twitter-help.html","FAILED","HTTP error fetching URL. Status=404, URL=[https://help.x.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/how-to-follow-people-on-twitter-twitter-help]"
"8","https://help.twitter.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/topics-help-you-stay-informed-twitter-help.html","FAILED","HTTP error fetching URL. Status=404, URL=[https://help.x.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/topics-help-you-stay-informed-twitter-help]"
"9","https://www.microsoft.com/en-us/privacy/privacystatement%22%20/t%20%22_blank","FAILED","HTTP error fetching URL. Status=404, URL=[https://www.microsoft.com/en-us/privacy/privacystatement%22%20/t%20%22_blank]"
"9","https://chromewebstore.google.com/category/","FAILED","HTTP error fetching URL. Status=404, URL=[https://chromewebstore.google.com/category/]"
"9","https://help.twitter.com/rules-and-policies/violent-entities","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/rules-and-policies/violent-entities]"
"9","https://help.x.com/en/rules-and-policies/media-policy.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/rules-and-policies/media-policy.html]"
"9","https://help.twitter.com/safety-and-security/sensitive-media","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/safety-and-security/sensitive-media]"
"9","http://twitter.com/rules","FAILED","HTTP error fetching URL. Status=520, URL=[http://twitter.com/rules]"
"9","https://developer.x.com/en1/use-cases/build-for-businesses","FAILED","HTTP error fetching URL. Status=404, URL=[https://developer.x.com/en/en1/use-cases/build-for-businesses]"
"9","http://t.co/YuKy2rcjyU","FAILED","HTTP error fetching URL. Status=520, URL=[http://t.co/YuKy2rcjyU]"
"9","https://devcommunity.x.com/t/upcoming-updates-to-the-self-serve-x-api/227668","FAILED","HTTP error fetching URL. Status=403, URL=[https://devcommunity.x.com/t/upcoming-updates-to-the-self-serve-x-api/227668]"
"9","https://devcommunity.x.com/","FAILED","HTTP error fetching URL. Status=403, URL=[https://devcommunity.x.com/]"
"9","https://twittercommunity.com/t/removing-support-for-embedded-like-collection-and-moment-timelines/150313","FAILED","HTTP error fetching URL. Status=403, URL=[https://devcommunity.x.com/t/removing-support-for-embedded-like-collection-and-moment-timelines/150313]"
"10","https://myaccount.google.com/signin/usernamerecovery?continue=https://myaccount.google.com/general-light&dsh=S892761191:1766772307655899&flowEntry=ServiceLogin&flowName=WebLiteSignIn&followup=https://myaccount.google.com/general-light&ifkv=Ac2yZaWm0rH7qtkOMquvhLyGsaECJMXCIcAnD0ox-NbpwI83fIQhOJ0GAngZzzQ8yo6JJoFGlrgvqg&osid=1","FAILED","HTTP error fetching URL. Status=404, URL=[https://myaccount.google.com/signin/usernamerecovery?continue=https://myaccount.google.com/general-light&dsh=S892761191:1766772307655899&flowEntry=ServiceLogin&flowName=WebLiteSignIn&followup=https://myaccount.google.com/general-light&ifkv=Ac2yZaWm0rH7qtkOMquvhLyGsaECJMXCIcAnD0ox-NbpwI83fIQhOJ0GAngZzzQ8yo6JJoFGlrgvqg&osid=1]"
"10","https://myaccount.google.com/lifecycle/flows/signup?continue=https://myaccount.google.com/general-light&dsh=S892761191:1766772307655899&flowEntry=SignUp&flowName=GlifWebSignIn&followup=https://myaccount.google.com/general-light&ifkv=Ac2yZaWm0rH7qtkOMquvhLyGsaECJMXCIcAnD0ox-NbpwI83fIQhOJ0GAngZzzQ8yo6JJoFGlrgvqg&osid=1","FAILED","HTTP error fetching URL. Status=404, URL=[https://myaccount.google.com/lifecycle/flows/signup?continue=https://myaccount.google.com/general-light&dsh=S892761191:1766772307655899&flowEntry=SignUp&flowName=GlifWebSignIn&followup=https://myaccount.google.com/general-light&ifkv=Ac2yZaWm0rH7qtkOMquvhLyGsaECJMXCIcAnD0ox-NbpwI83fIQhOJ0GAngZzzQ8yo6JJoFGlrgvqg&osid=1]"
"10","https://myaccount.google.com/signin/usernamerecovery?continue=https://myaccount.google.com/general-light&dsh=S-452749248:1766772307769553&flowEntry=ServiceLogin&flowName=WebLiteSignIn&followup=https://myaccount.google.com/general-light&ifkv=Ac2yZaVAnYBwX8OdN_xhsoArGX73fehfvn3x_eu6lvFKSZO708DtgIjcPsxvgwL7vmkg5Qgju_FUfg&osid=1","FAILED","HTTP error fetching URL. Status=404, URL=[https://myaccount.google.com/signin/usernamerecovery?continue=https://myaccount.google.com/general-light&dsh=S-452749248:1766772307769553&flowEntry=ServiceLogin&flowName=WebLiteSignIn&followup=https://myaccount.google.com/general-light&ifkv=Ac2yZaVAnYBwX8OdN_xhsoArGX73fehfvn3x_eu6lvFKSZO708DtgIjcPsxvgwL7vmkg5Qgju_FUfg&osid=1]"
"10","https://myaccount.google.com/lifecycle/flows/signup?continue=https://myaccount.google.com/general-light&dsh=S-452749248:1766772307769553&flowEntry=SignUp&flowName=GlifWebSignIn&followup=https://myaccount.google.com/general-light&ifkv=Ac2yZaVAnYBwX8OdN_xhsoArGX73fehfvn3x_eu6lvFKSZO708DtgIjcPsxvgwL7vmkg5Qgju_FUfg&osid=1","FAILED","HTTP error fetching URL. Status=404, URL=[https://myaccount.google.com/lifecycle/flows/signup?continue=https://myaccount.google.com/general-light&dsh=S-452749248:1766772307769553&flowEntry=SignUp&flowName=GlifWebSignIn&followup=https://myaccount.google.com/general-light&ifkv=Ac2yZaVAnYBwX8OdN_xhsoArGX73fehfvn3x_eu6lvFKSZO708DtgIjcPsxvgwL7vmkg5Qgju_FUfg&osid=1]"
"10","https://developer.x.com/en/support/twitter-api/developer-account.html","FAILED","HTTP error fetching URL. Status=404, URL=[https://developer.x.com/en/support/x-api/developer-account]"
"10","https://twittercommunity.com/c/publisher/41/none","FAILED","HTTP error fetching URL. Status=403, URL=[https://devcommunity.x.com/c/publisher/41/none]"
