depth,url,type,message
"6","https://support.twitter.com/forms","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/forms]"
"7","https://help.twitter.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/how-to-follow-people-on-twitter-twitter-help","FAILED","HTTP error fetching URL. Status=404, URL=[https://help.x.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/how-to-follow-people-on-twitter-twitter-help]"
"7","https://help.twitter.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/topics-help-you-stay-informed-twitter-help","FAILED","HTTP error fetching URL. Status=404, URL=[https://help.x.com/de/resources/twitter-guide/topics/how-to-get-started-with-twitter/topics-help-you-stay-informed-twitter-help]"
"7","https://help.twitter.com/de/rules-and-policies/recommendations","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/de/rules-and-policies/recommendations]"
"8","https://help.x.com/en/forms/account-access/appeals.html","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/en/forms/account-access/appeals.html]"
"8","https://help.x.com/en/using-twitter/voice-tweet.html","FAILED","HTTP error fetching URL. Status=404, URL=[https://help.x.com/en/using-x/voice-post]"
"8","https://help.twitter.com/rules-and-policies/violent-entities","FAILED","HTTP error fetching URL. Status=403, URL=[https://help.x.com/rules-and-policies/violent-entities]"
"8","https://status.twitterstat.us/","FAILED","status.twitterstat.us"
"9","https://www.microsoft.com/en-us/privacy/privacystatement%22%20/t%20%22_blank","FAILED","HTTP error fetching URL. Status=404, URL=[https://www.microsoft.com/en-us/privacy/privacystatement%22%20/t%20%22_blank]"
"9","https://copilot.microsoft.com/","FAILED","HTTP error fetching URL. Status=403, URL=[https://copilot.microsoft.com/]"
"9","https://chromewebstore.google.com/category/","FAILED","HTTP error fetching URL. Status=404, URL=[https://chromewebstore.google.com/category/]"
"9","http://twitter.com/rules","FAILED","HTTP error fetching URL. Status=520, URL=[http://twitter.com/rules]"
"9","https://access.jamsadr.com/","FAILED","PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target"
